Frequency_Hz	Z_re_mOhm*cm2	Z_neg_imag_mOhm*cm2
263.716597021	58.07756563042399	46.50216596099886
297.693287383	55.6768252774708	44.07773351988288
336.047462898	53.26129170305421	41.74117343603177
379.343109524	50.88529896051585	39.47070640642671
428.216875981	48.59320600907703	37.263172102936494
483.387435466	46.415306468754736	35.127933280466465
545.666053518	44.366771248063706	33.07999928678732
615.968517417	42.44942589530265	31.133910588547934
695.328602545	40.655477544163894	29.29947816430803
784.913273725	38.97201872704016	27.57982300041887
