Frequency_Hz	Z_re_mOhm*cm2	Z_neg_imag_mOhm*cm2
1.00019535065	100.074120492	6566.8365841
1.12943855574	97.6168791409	5815.40792241
1.27538230443	95.6465323303	5149.9744162
1.44018460694	93.8052054057	4560.71127787
1.62628232715	92.0983889613	4038.87638021
1.83642721555	90.7295230434	3576.75430133
2.07372659821	89.3908008376	3167.54077152
2.34168932355	88.2638482579	2805.14139501
2.64427764623	87.265841066	2484.23544233
2.98596581537	86.4227495067	2200.05763514
3.37180623346	85.5972771937	1948.40909426
3.80750416413	84.9345933849	1725.57211025
4.29950209358	84.3142527261	1528.25266714
4.85507499292	83.7380935877	1353.53225164
5.48243789021	83.2741611456	1198.8242615
6.19086734269	82.8387093305	1061.84517177
6.99083860544	82.4499945285	940.56271807
7.89418052464	82.1024394195	833.190432152
8.91425044588	81.7903119444	738.138768627
10.0019535065	81.522521566	658.178504687
11.2905841091	81.2548887224	583.430523994
12.7452391616	81.019612054	517.256839704
14.3873089041	80.8007459173	458.691494012
16.2409394504	80.5934825722	406.871205875
18.3333878481	80.3933902689	361.03477292
20.6954228859	80.2004464842	320.503549017
23.3617775381	79.9935848651	284.688462816
26.3716597021	79.7865551176	253.052624563
29.7693287383	79.5573169272	225.130772328
33.6047462898	79.301883983	200.507278082
37.9343109524	79.0085596169	178.812373234
42.821687598	78.6630975592	159.71823412
48.3387435466	78.2483092218	142.937749654
54.5666053518	77.7510362493	128.213559293
61.5968517417	77.1476491631	115.325729642
69.5328602545	76.424274367	104.076033354
78.4913273725	75.5638487525	94.2909682618
88.6039845067	74.5503522444	85.8147939265
100.019535065	73.372601367	78.5023674741
112.905841091	72.0207496075	72.2186947916
127.452391616	70.4885900671	66.8331124047
143.873089041	68.7733906979	62.2162881517
162.409394504	66.8793976113	58.242118231
183.333878481	64.8181526032	54.7867459693
206.954228859	62.6116517016	51.7334952908
233.617775381	60.2922063508	48.9769168647
263.716597021	57.9012826563	46.4281684363
297.693287383	55.4858589473	44.0195423249
336.047462898	53.0930724544	41.7052655236
379.343109524	50.7645418999	39.4621978996
428.216875981	48.5316803803	37.284425195
483.387435466	46.4128013737	35.1786925261
545.666053518	44.4148284955	33.1564653571
615.968517417	42.5345515129	31.230238594
695.328602545	40.7627488191	29.4086671887
784.913273725	39.0883040071	27.6949090238
886.039845067	37.5000647214	26.0869042728
1000.19535065	35.9903179346	24.5784002003
1129.05841091	34.5544309677	23.1600099159
1274.52391616	33.1895627469	21.8233598875
1438.73089041	31.8950446555	20.5608783613
1624.09394504	30.6702838743	19.3660890296
1833.33878481	29.5145468592	18.2351161449
2069.54228859	28.4255341382	17.1657980224
2336.17775381	27.4010654158	16.1551127946
2637.16597021	26.4377874858	15.2018735521
2976.93287383	25.5323730075	14.3037295627
3360.47462899	24.681298832	13.4582784476
3793.43109524	23.8809842218	12.6630939724
4282.16875981	23.128489345	11.9149626492
4833.87435466	22.420797087	11.2110540445
5456.66053518	21.754934636	10.5490886339
6159.68517417	21.1284005178	9.92647960508
6953.28602545	20.539091795	9.34035038048
7849.13273725	19.9848593006	8.78848548876
8860.39845067	19.4633885322	8.26954676459
10001.9535065	18.9732028311	7.7806777075
11290.5841091	18.5122060447	7.32078751507
12745.2391616	18.0788320378	6.88794787205
14387.3089041	17.6715000561	6.48055735036
16240.9394504	17.2887114592	6.09710187467
18333.3878481	16.9290503317	5.73615359852
20695.4228859	16.5911806952	5.39636699952
23361.7775381	16.2737690957	5.07671551753
26371.6597021	15.9758566908	4.77528650653
29769.3287383	15.6961066925	4.49167905831
33604.7462898	15.4335292876	4.22459384231
37934.3109524	15.1870791789	3.97327903986
42821.6875981	14.9559762375	3.73632669827
48338.7435466	14.7392841179	3.51309880257
54566.6053518	14.5361941883	3.30252163272
61596.8517417	14.3457666014	3.10453411348
69532.8602545	14.1675285851	2.91746670252
78491.3273725	14.0005762786	2.74157879941
88603.9845067	13.8443233849	2.57550272394
100019.535065	13.6982606689	2.41890017569
112905.841091	13.5616669112	2.27094068472
127452.391616	13.4340947806	2.13159600123
143873.089042	13.3149545691	2.00012014364
162409.394504	13.2038054533	1.87605971474
183333.878482	13.1002143074	1.75922868578
206954.228859	13.0037745927	1.64876147362
233617.775381	12.9140462786	1.5442932994
263716.59702	12.8306245703	1.44618874772
297693.287383	12.7532353719	1.35345135989
336047.462897	12.6815298605	1.2658056699
379343.109523	12.6151119767	1.18368870728
428216.875979	12.5537354146	1.10618759924
483387.435466	12.4970896391	1.03309982537
545666.053514	12.4448142021	0.964692777107
615968.517423	12.3966018668	0.900790470524
695328.602547	12.3522107856	0.840543056638
784913.273731	12.3112311421	0.784679822434
886039.845078	12.2734234408	0.732111284536
1000195.35065	12.2384407172	0.683538369614
1129058.4109	12.206003542	0.63805792568
1274523.91616	12.1758169096	0.595652350644
1438730.8904	12.1477076839	0.556068805254
1624093.94507	12.1214119212	0.518821641274
1833338.78478	12.0968381372	0.484113702557
2069542.28854	12.0737717402	0.451709988996
2336177.7538	12.0522126496	0.420737092292
2637165.97016	12.0320625557	0.3919083208
2976932.87399	12.0132202583	0.364175376088
3360474.62897	11.9957357145	0.338300718863
3793431.09503	11.9795249747	0.31350315675
4282168.75997	11.9645654314	0.289689341253
4833874.35462	11.9509047958	0.267451879994
5456660.53514	11.9385128232	0.246069590086
6159685.17377	11.9273240895	0.225729151885
6953286.02566	11.9174199443	0.206419831255
7849132.73645	11.9087759664	0.188146669191
8860398.45172	11.9013039642	0.170705535527
10001953.5055	11.8949439309	0.154561311583
